animate?, num_of_agents, neighbourhood, num_of_iterations, name, time, system, machine, details
DON'T ANIMATE,1,1,100,0.004962653969414532,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,1,1,100,0.00492307695094496,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,1,1,100,0.005194883968215436,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,10,10,100,0.13882003899198025,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,1,10,10000,0.49847230699378997,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,1,10,100000,4.889636918960605,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,10,10,10000,13.528545451001264,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,10,10,10000,4.5633411,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.1273911,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,1,1,6.1914026,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,1,1,3.4439651000000007,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,1,100,0.04409909999999995,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,1,100,25.9909856,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,1,100,29.4645207,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,50,1000,9.740407,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,50,1000,27.354723999999997,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,50,1000,291.44722970000004,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,10,50,1000,4.513088,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.5362832,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.3879819,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,215.3096327,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,3.6977752,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

u,1,10,10,0.00020249999999999435,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,10,10,6.548857,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,10,10,2.9270966,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,10,10,3.0287319999999998,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,10,10,4.5297463,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,10,10,36.8829794,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,1,10,10,6.5238987,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,200,50,100,30.2367485,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,3.5918901000000005,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,19.007542400000002,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,2.83158314,User-PC,Windows7,AMD64,Intel64 Family 6 Model 58 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,22.610195453000003,User-PC,Windows7,AMD64,Intel64 Family 6 Model 58 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,11.625356274000001,User-PC,Windows7,AMD64,Intel64 Family 6 Model 58 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,791.7998173999999,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,100,0.025249100000000024,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,1000,0.2114547,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,10000,1.9006651999999997,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,100000,20.3454664,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,15,50,1000,100.2429096,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,100,30,1000,209.3425486,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,100,30,1000,189.71898729999998,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,200,30,1000,57.166023,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,10,30,1000,133.492699,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,50,30,1000,170.2943786,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,50,30,10000,733.808407,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,200,30,10000,397.921621,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,200,30,10000,551.4969609000001,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,200,30,10000,78.62203240000001,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,200,30,10000,69.2449268,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

a,100,10,10000,457.7375882,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,100,0.021992400000000023,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,1000,0.1893339,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,10000,2.0323251,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,100000,20.1485302,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,5.7380024,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,9.3365769,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,10000,2.2562079,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,3.5110376,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,5.178454100000001,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,46.826584499999996,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,10000,2.6881223999999997,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,3.5281516,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,10000,2.3007928,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

DON'T ANIMATE,10,10,10000,2.7112878,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln

ANIMATE,10,10,10000,100.50202359999999,DESKTOP-3P6PQJ0,Windows10,AMD64,Intel64 Family 6 Model 60 Stepping 3 GenuineInteln
